request_number,scope,variant,sample_id,dataset,provider,model,attempt,status,http_status,error_type,error_message,input_tokens,cache_hit_input_tokens,cache_miss_input_tokens,output_tokens,total_tokens,latency_ms,estimated_cost_usd,requested_at_utc,completed_at_utc
1,pilot,A,fpb-full-000025,fpb,upstage,solar-pro3,1,success,200,,,177,0,177,3,180,1389.19,2.835e-05,2026-07-21T02:36:17.808827+00:00,2026-07-21T02:36:19.197790+00:00
2,pilot,A,fpb-full-000040,fpb,upstage,solar-pro3,1,success,200,,,170,0,170,3,173,407.0,2.73e-05,2026-07-21T02:36:19.510365+00:00,2026-07-21T02:36:19.916586+00:00
3,pilot,A,fpb-full-000063,fpb,upstage,solar-pro3,1,success,200,,,201,0,201,3,204,409.94,3.195e-05,2026-07-21T02:36:20.230169+00:00,2026-07-21T02:36:20.639670+00:00
4,pilot,A,fpb-full-000080,fpb,upstage,solar-pro3,1,success,200,,,186,0,186,3,189,403.9,2.97e-05,2026-07-21T02:36:20.976743+00:00,2026-07-21T02:36:21.380448+00:00
5,pilot,A,fpb-full-000101,fpb,upstage,solar-pro3,1,success,200,,,169,0,169,3,172,397.34,2.715e-05,2026-07-21T02:36:21.716760+00:00,2026-07-21T02:36:22.113144+00:00
6,pilot,A,fpb-full-000126,fpb,upstage,solar-pro3,1,success,200,,,148,0,148,3,151,1393.93,2.4e-05,2026-07-21T02:37:18.982556+00:00,2026-07-21T02:37:20.376169+00:00
7,pilot,A,fpb-full-000142,fpb,upstage,solar-pro3,1,success,200,,,153,0,153,3,156,420.16,2.475e-05,2026-07-21T02:37:20.690620+00:00,2026-07-21T02:37:21.111103+00:00
8,pilot,A,fpb-full-000178,fpb,upstage,solar-pro3,1,success,200,,,139,0,139,3,142,397.27,2.265e-05,2026-07-21T02:37:21.424002+00:00,2026-07-21T02:37:21.820926+00:00
9,pilot,A,fpb-full-000235,fpb,upstage,solar-pro3,1,success,200,,,193,0,193,3,196,648.19,3.075e-05,2026-07-21T02:37:22.134527+00:00,2026-07-21T02:37:22.782757+00:00
10,pilot,A,fpb-full-000264,fpb,upstage,solar-pro3,1,success,200,,,165,0,165,3,168,383.2,2.655e-05,2026-07-21T02:37:23.095688+00:00,2026-07-21T02:37:23.478609+00:00
11,pilot,A,fpb-full-000271,fpb,upstage,solar-pro3,1,success,200,,,150,0,150,3,153,409.74,2.43e-05,2026-07-21T02:37:23.791356+00:00,2026-07-21T02:37:24.201369+00:00
12,pilot,A,fpb-full-000296,fpb,upstage,solar-pro3,1,success,200,,,149,0,149,3,152,403.86,2.415e-05,2026-07-21T02:37:24.531081+00:00,2026-07-21T02:37:24.934777+00:00
13,pilot,A,fpb-full-000298,fpb,upstage,solar-pro3,1,success,200,,,204,0,204,3,207,403.34,3.24e-05,2026-07-21T02:37:25.248984+00:00,2026-07-21T02:37:25.652431+00:00
14,pilot,A,fpb-full-000319,fpb,upstage,solar-pro3,1,success,200,,,187,0,187,3,190,406.17,2.985e-05,2026-07-21T02:37:25.967122+00:00,2026-07-21T02:37:26.373069+00:00
15,pilot,A,fpb-full-000347,fpb,upstage,solar-pro3,1,success,200,,,152,0,152,3,155,395.52,2.46e-05,2026-07-21T02:37:26.685942+00:00,2026-07-21T02:37:27.081327+00:00
