request_number,scope,variant,sample_id,dataset,provider,model,attempt,status,http_status,error_type,error_message,input_tokens,cache_hit_input_tokens,cache_miss_input_tokens,output_tokens,total_tokens,latency_ms,estimated_cost_usd,requested_at_utc,completed_at_utc
1,pilot,B,fpb-full-000025,fpb,upstage,solar-pro3,1,success,200,,,187,0,187,3,190,1388.67,2.985e-05,2026-07-21T02:50:50.819941+00:00,2026-07-21T02:50:52.208409+00:00
2,pilot,B,fpb-full-000040,fpb,upstage,solar-pro3,1,success,200,,,180,0,180,3,183,403.39,2.88e-05,2026-07-21T02:50:52.521592+00:00,2026-07-21T02:50:52.924778+00:00
3,pilot,B,fpb-full-000063,fpb,upstage,solar-pro3,1,success,200,,,211,0,211,3,214,407.06,3.345e-05,2026-07-21T02:50:53.238097+00:00,2026-07-21T02:50:53.644597+00:00
4,pilot,B,fpb-full-000080,fpb,upstage,solar-pro3,1,success,200,,,196,0,196,3,199,734.5,3.12e-05,2026-07-21T02:50:53.985717+00:00,2026-07-21T02:50:54.719457+00:00
5,pilot,B,fpb-full-000101,fpb,upstage,solar-pro3,1,success,200,,,179,0,179,3,182,388.62,2.865e-05,2026-07-21T02:50:55.032651+00:00,2026-07-21T02:50:55.420522+00:00
6,pilot,B,fpb-full-000126,fpb,upstage,solar-pro3,1,success,200,,,158,0,158,3,161,1552.12,2.55e-05,2026-07-21T02:52:45.051977+00:00,2026-07-21T02:52:46.604001+00:00
7,pilot,B,fpb-full-000142,fpb,upstage,solar-pro3,1,success,200,,,163,0,163,3,166,404.82,2.625e-05,2026-07-21T02:52:46.918474+00:00,2026-07-21T02:52:47.322660+00:00
8,pilot,B,fpb-full-000178,fpb,upstage,solar-pro3,1,success,200,,,149,0,149,3,152,404.85,2.415e-05,2026-07-21T02:52:47.636257+00:00,2026-07-21T02:52:48.040543+00:00
9,pilot,B,fpb-full-000235,fpb,upstage,solar-pro3,1,success,200,,,203,0,203,3,206,412.8,3.225e-05,2026-07-21T02:52:48.353926+00:00,2026-07-21T02:52:48.766698+00:00
10,pilot,B,fpb-full-000264,fpb,upstage,solar-pro3,1,success,200,,,175,0,175,3,178,401.81,2.805e-05,2026-07-21T02:52:49.079960+00:00,2026-07-21T02:52:49.482216+00:00
11,pilot,B,fpb-full-000271,fpb,upstage,solar-pro3,1,success,200,,,160,0,160,3,163,407.89,2.58e-05,2026-07-21T02:52:49.793887+00:00,2026-07-21T02:52:50.202578+00:00
12,pilot,B,fpb-full-000296,fpb,upstage,solar-pro3,1,success,200,,,159,0,159,3,162,398.73,2.565e-05,2026-07-21T02:52:50.514721+00:00,2026-07-21T02:52:50.913088+00:00
13,pilot,B,fpb-full-000298,fpb,upstage,solar-pro3,1,success,200,,,214,0,214,3,217,429.47,3.39e-05,2026-07-21T02:52:51.226443+00:00,2026-07-21T02:52:51.655454+00:00
14,pilot,B,fpb-full-000319,fpb,upstage,solar-pro3,1,success,200,,,197,0,197,3,200,394.42,3.135e-05,2026-07-21T02:52:51.967580+00:00,2026-07-21T02:52:52.361634+00:00
15,pilot,B,fpb-full-000347,fpb,upstage,solar-pro3,1,success,200,,,162,0,162,3,165,393.29,2.61e-05,2026-07-21T02:52:52.675236+00:00,2026-07-21T02:52:53.067792+00:00
16,pilot,B,fpb-full-000352,fpb,upstage,solar-pro3,1,success,200,,,165,0,165,3,168,535.95,2.655e-05,2026-07-21T02:52:53.381133+00:00,2026-07-21T02:52:53.917498+00:00
17,pilot,B,fpb-full-000396,fpb,upstage,solar-pro3,1,success,200,,,166,0,166,3,169,590.9,2.67e-05,2026-07-21T02:52:54.229502+00:00,2026-07-21T02:52:54.820229+00:00
18,pilot,B,fpb-full-000400,fpb,upstage,solar-pro3,1,success,200,,,193,0,193,3,196,501.78,3.075e-05,2026-07-21T02:52:55.138233+00:00,2026-07-21T02:52:55.639804+00:00
19,pilot,B,fpb-full-000427,fpb,upstage,solar-pro3,1,success,200,,,193,0,193,3,196,1471.71,3.075e-05,2026-07-21T02:52:55.952542+00:00,2026-07-21T02:52:57.423963+00:00
20,pilot,B,fpb-full-000442,fpb,upstage,solar-pro3,1,success,200,,,166,0,166,3,169,385.35,2.67e-05,2026-07-21T02:52:57.765789+00:00,2026-07-21T02:52:58.150803+00:00
21,pilot,B,fpb-full-000474,fpb,upstage,solar-pro3,1,success,200,,,176,0,176,3,179,413.04,2.82e-05,2026-07-21T02:52:58.464202+00:00,2026-07-21T02:52:58.876609+00:00
22,pilot,B,fpb-full-000479,fpb,upstage,solar-pro3,1,success,200,,,163,0,163,3,166,410.69,2.625e-05,2026-07-21T02:52:59.191010+00:00,2026-07-21T02:52:59.601250+00:00
23,pilot,B,fpb-full-000488,fpb,upstage,solar-pro3,1,success,200,,,160,0,160,3,163,387.13,2.58e-05,2026-07-21T02:52:59.914344+00:00,2026-07-21T02:53:00.300855+00:00
24,pilot,B,fpb-full-000494,fpb,upstage,solar-pro3,1,success,200,,,166,0,166,3,169,393.63,2.67e-05,2026-07-21T02:53:00.615257+00:00,2026-07-21T02:53:01.008637+00:00
25,pilot,B,fpb-full-000527,fpb,upstage,solar-pro3,1,success,200,,,160,0,160,3,163,428.32,2.58e-05,2026-07-21T02:53:01.321607+00:00,2026-07-21T02:53:01.749676+00:00
26,pilot,B,fpb-full-000540,fpb,upstage,solar-pro3,1,success,200,,,170,0,170,3,173,392.46,2.73e-05,2026-07-21T02:53:02.062924+00:00,2026-07-21T02:53:02.455600+00:00
27,pilot,B,fpb-full-000545,fpb,upstage,solar-pro3,1,success,200,,,153,0,153,3,156,384.07,2.475e-05,2026-07-21T02:53:02.768120+00:00,2026-07-21T02:53:03.151662+00:00
28,pilot,B,fpb-full-000546,fpb,upstage,solar-pro3,1,success,200,,,176,0,176,3,179,383.64,2.82e-05,2026-07-21T02:53:03.465175+00:00,2026-07-21T02:53:03.848133+00:00
29,pilot,B,fpb-full-000581,fpb,upstage,solar-pro3,1,success,200,,,181,0,181,3,184,403.56,2.895e-05,2026-07-21T02:53:04.161710+00:00,2026-07-21T02:53:04.564667+00:00
30,pilot,B,fpb-full-000582,fpb,upstage,solar-pro3,1,success,200,,,161,0,161,3,164,406.03,2.595e-05,2026-07-21T02:53:04.877785+00:00,2026-07-21T02:53:05.284295+00:00
31,pilot,B,fpb-full-000593,fpb,upstage,solar-pro3,1,success,200,,,184,0,184,3,187,377.6,2.94e-05,2026-07-21T02:53:05.596745+00:00,2026-07-21T02:53:05.974601+00:00
32,pilot,B,fpb-full-000634,fpb,upstage,solar-pro3,1,success,200,,,179,0,179,3,182,417.42,2.865e-05,2026-07-21T02:53:06.286689+00:00,2026-07-21T02:53:06.704581+00:00
33,pilot,B,fpb-full-000645,fpb,upstage,solar-pro3,1,success,200,,,208,0,208,3,211,389.56,3.3e-05,2026-07-21T02:53:07.016035+00:00,2026-07-21T02:53:07.405117+00:00
34,pilot,B,fpb-full-000681,fpb,upstage,solar-pro3,1,success,200,,,167,0,167,3,170,426.95,2.685e-05,2026-07-21T02:53:07.718737+00:00,2026-07-21T02:53:08.145044+00:00
35,pilot,B,fpb-full-000687,fpb,upstage,solar-pro3,1,success,200,,,185,0,185,3,188,393.94,2.955e-05,2026-07-21T02:53:08.458740+00:00,2026-07-21T02:53:08.852782+00:00
36,pilot,B,fpb-full-000692,fpb,upstage,solar-pro3,1,success,200,,,165,0,165,3,168,391.04,2.655e-05,2026-07-21T02:53:09.165934+00:00,2026-07-21T02:53:09.557296+00:00
37,pilot,B,fpb-full-000695,fpb,upstage,solar-pro3,1,success,200,,,182,0,182,3,185,401.04,2.91e-05,2026-07-21T02:53:09.869066+00:00,2026-07-21T02:53:10.270436+00:00
38,pilot,B,fpb-full-000696,fpb,upstage,solar-pro3,1,success,200,,,167,0,167,3,170,418.67,2.685e-05,2026-07-21T02:53:10.582314+00:00,2026-07-21T02:53:11.000266+00:00
39,pilot,B,fpb-full-000710,fpb,upstage,solar-pro3,1,success,200,,,187,0,187,3,190,412.48,2.985e-05,2026-07-21T02:53:11.314409+00:00,2026-07-21T02:53:11.726840+00:00
40,pilot,B,fpb-full-000712,fpb,upstage,solar-pro3,1,success,200,,,206,0,206,3,209,404.8,3.27e-05,2026-07-21T02:53:12.040159+00:00,2026-07-21T02:53:12.444580+00:00
41,pilot,B,fpb-full-000737,fpb,upstage,solar-pro3,1,success,200,,,165,0,165,3,168,386.63,2.655e-05,2026-07-21T02:53:12.765761+00:00,2026-07-21T02:53:13.152611+00:00
42,pilot,B,fpb-full-000796,fpb,upstage,solar-pro3,1,success,200,,,180,0,180,3,183,405.52,2.88e-05,2026-07-21T02:53:13.464949+00:00,2026-07-21T02:53:13.870469+00:00
43,pilot,B,fpb-full-000875,fpb,upstage,solar-pro3,1,success,200,,,187,0,187,3,190,391.08,2.985e-05,2026-07-21T02:53:14.183960+00:00,2026-07-21T02:53:14.574908+00:00
44,pilot,B,fpb-full-000900,fpb,upstage,solar-pro3,1,success,200,,,174,0,174,3,177,383.96,2.79e-05,2026-07-21T02:53:14.888513+00:00,2026-07-21T02:53:15.272651+00:00
45,pilot,B,fpb-full-000980,fpb,upstage,solar-pro3,1,success,200,,,156,0,156,3,159,401.5,2.52e-05,2026-07-21T02:53:15.585277+00:00,2026-07-21T02:53:15.986923+00:00
46,pilot,B,fpb-full-000990,fpb,upstage,solar-pro3,1,success,200,,,154,0,154,3,157,384.68,2.49e-05,2026-07-21T02:53:16.299173+00:00,2026-07-21T02:53:16.683313+00:00
47,pilot,B,fpb-full-000999,fpb,upstage,solar-pro3,1,success,200,,,151,0,151,3,154,401.87,2.445e-05,2026-07-21T02:53:16.996690+00:00,2026-07-21T02:53:17.397880+00:00
48,pilot,B,fpb-full-001040,fpb,upstage,solar-pro3,1,success,200,,,153,0,153,3,156,395.58,2.475e-05,2026-07-21T02:53:17.711288+00:00,2026-07-21T02:53:18.106443+00:00
