request_number,scope,variant,sample_id,dataset,provider,model,attempt,status,http_status,error_type,error_message,input_tokens,cache_hit_input_tokens,cache_miss_input_tokens,output_tokens,total_tokens,latency_ms,estimated_cost_usd,requested_at_utc,completed_at_utc
1,smoke20,A,fpb-full-000319,fpb,deepseek,deepseek-v4-pro,1,success,200,,,112,0,112,1,113,2628.1,4.959e-05,2026-07-20T16:01:02.836090+00:00,2026-07-20T16:01:05.464417+00:00
2,smoke20,A,fpb-full-000527,fpb,deepseek,deepseek-v4-pro,1,success,200,,,78,0,78,1,79,3074.97,3.48e-05,2026-07-20T16:01:05.772006+00:00,2026-07-20T16:01:08.846569+00:00
3,smoke20,A,fpb-full-000687,fpb,deepseek,deepseek-v4-pro,1,success,200,,,102,0,102,1,103,3595.89,4.524e-05,2026-07-20T16:01:09.154285+00:00,2026-07-20T16:01:12.749415+00:00
4,smoke20,A,fpb-full-000710,fpb,deepseek,deepseek-v4-pro,1,success,200,,,105,0,105,1,106,1957.16,4.654e-05,2026-07-20T16:01:13.081828+00:00,2026-07-20T16:01:15.038953+00:00
5,smoke20,A,fpb-full-001127,fpb,deepseek,deepseek-v4-pro,1,success,200,,,92,0,92,1,93,1805.78,4.089e-05,2026-07-20T16:01:15.345665+00:00,2026-07-20T16:01:17.150955+00:00
6,smoke20,A,fpb-full-001137,fpb,deepseek,deepseek-v4-pro,1,success,200,,,86,0,86,1,87,1359.72,3.828e-05,2026-07-20T16:01:17.459599+00:00,2026-07-20T16:01:18.818490+00:00
7,smoke20,A,fpb-full-001224,fpb,deepseek,deepseek-v4-pro,1,success,200,,,131,0,131,1,132,1772.44,5.786e-05,2026-07-20T16:01:19.126368+00:00,2026-07-20T16:01:20.898630+00:00
8,smoke20,A,fpb-full-001290,fpb,deepseek,deepseek-v4-pro,1,success,200,,,90,0,90,1,91,1756.52,4.002e-05,2026-07-20T16:01:21.211960+00:00,2026-07-20T16:01:22.968050+00:00
9,smoke20,A,fpb-full-002581,fpb,deepseek,deepseek-v4-pro,1,success,200,,,79,0,79,1,80,1319.49,3.523e-05,2026-07-20T16:01:23.275485+00:00,2026-07-20T16:01:24.594126+00:00
10,smoke20,A,fpb-full-002887,fpb,deepseek,deepseek-v4-pro,1,success,200,,,105,0,105,1,106,1514.54,4.654e-05,2026-07-20T16:01:24.901176+00:00,2026-07-20T16:01:26.414664+00:00
11,smoke20,A,fpb-full-003104,fpb,deepseek,deepseek-v4-pro,1,success,200,,,90,0,90,1,91,1540.02,4.002e-05,2026-07-20T16:01:26.722871+00:00,2026-07-20T16:01:28.262624+00:00
12,smoke20,A,fpb-full-003299,fpb,deepseek,deepseek-v4-pro,1,success,200,,,109,0,109,1,110,1703.12,4.829e-05,2026-07-20T16:01:28.570423+00:00,2026-07-20T16:01:30.273652+00:00
