request_number,scope,variant,sample_id,dataset,provider,model,attempt,status,http_status,error_type,error_message,input_tokens,cache_hit_input_tokens,cache_miss_input_tokens,output_tokens,total_tokens,latency_ms,estimated_cost_usd,requested_at_utc,completed_at_utc
1,smoke20,B,fpb-full-000319,fpb,deepseek,deepseek-v4-pro,1,success,200,,,122,0,122,1,123,2255.55,5.394e-05,2026-07-20T16:05:12.954416+00:00,2026-07-20T16:05:15.210550+00:00
2,smoke20,B,fpb-full-000527,fpb,deepseek,deepseek-v4-pro,1,success,200,,,88,0,88,1,89,1406.2,3.915e-05,2026-07-20T16:05:15.517408+00:00,2026-07-20T16:05:16.923344+00:00
3,smoke20,B,fpb-full-000687,fpb,deepseek,deepseek-v4-pro,1,success,200,,,112,0,112,1,113,1195.71,4.959e-05,2026-07-20T16:05:17.263908+00:00,2026-07-20T16:05:18.459573+00:00
4,smoke20,B,fpb-full-000710,fpb,deepseek,deepseek-v4-pro,1,success,200,,,115,0,115,1,116,1293.58,5.089e-05,2026-07-20T16:05:18.796953+00:00,2026-07-20T16:05:20.089480+00:00
5,smoke20,B,fpb-full-001127,fpb,deepseek,deepseek-v4-pro,1,success,200,,,102,0,102,1,103,1444.45,4.524e-05,2026-07-20T16:05:20.397678+00:00,2026-07-20T16:05:21.842068+00:00
6,smoke20,B,fpb-full-001137,fpb,deepseek,deepseek-v4-pro,1,success,200,,,96,0,96,1,97,1026.83,4.263e-05,2026-07-20T16:05:22.149003+00:00,2026-07-20T16:05:23.174533+00:00
7,smoke20,B,fpb-full-001224,fpb,deepseek,deepseek-v4-pro,1,success,200,,,141,0,141,1,142,1327.07,6.221e-05,2026-07-20T16:05:23.481896+00:00,2026-07-20T16:05:24.807990+00:00
8,smoke20,B,fpb-full-001290,fpb,deepseek,deepseek-v4-pro,1,success,200,,,100,0,100,1,101,1307.19,4.437e-05,2026-07-20T16:05:25.114816+00:00,2026-07-20T16:05:26.421654+00:00
9,smoke20,B,fpb-full-002581,fpb,deepseek,deepseek-v4-pro,1,success,200,,,89,0,89,1,90,1446.93,3.958e-05,2026-07-20T16:05:26.728682+00:00,2026-07-20T16:05:28.175282+00:00
10,smoke20,B,fpb-full-002887,fpb,deepseek,deepseek-v4-pro,1,success,200,,,115,0,115,1,116,1549.44,5.089e-05,2026-07-20T16:05:28.482216+00:00,2026-07-20T16:05:30.030757+00:00
11,smoke20,B,fpb-full-003104,fpb,deepseek,deepseek-v4-pro,1,success,200,,,100,0,100,1,101,1645.22,4.437e-05,2026-07-20T16:05:30.337272+00:00,2026-07-20T16:05:31.981950+00:00
12,smoke20,B,fpb-full-003299,fpb,deepseek,deepseek-v4-pro,1,success,200,,,119,0,119,1,120,1471.39,5.264e-05,2026-07-20T16:05:32.289472+00:00,2026-07-20T16:05:33.760738+00:00
13,smoke20,B,fpb-full-003384,fpb,deepseek,deepseek-v4-pro,1,success,200,,,124,0,124,1,125,1443.19,5.481e-05,2026-07-20T16:05:34.066530+00:00,2026-07-20T16:05:35.509476+00:00
14,smoke20,B,fpb-full-003523,fpb,deepseek,deepseek-v4-pro,1,success,200,,,86,0,86,1,87,1356.43,3.828e-05,2026-07-20T16:05:35.816023+00:00,2026-07-20T16:05:37.171995+00:00
15,smoke20,B,fpb-full-003702,fpb,deepseek,deepseek-v4-pro,1,success,200,,,98,0,98,1,99,1515.31,4.35e-05,2026-07-20T16:05:37.479097+00:00,2026-07-20T16:05:38.994295+00:00
16,smoke20,B,fpb-full-003774,fpb,deepseek,deepseek-v4-pro,1,success,200,,,81,0,81,1,82,1234.7,3.611e-05,2026-07-20T16:05:39.301301+00:00,2026-07-20T16:05:40.535464+00:00
17,smoke20,B,fpb-full-003943,fpb,deepseek,deepseek-v4-pro,1,success,200,,,98,0,98,1,99,1328.77,4.35e-05,2026-07-20T16:05:40.841427+00:00,2026-07-20T16:05:42.170129+00:00
18,smoke20,B,fpb-full-004197,fpb,deepseek,deepseek-v4-pro,1,success,200,,,93,0,93,1,94,1354.19,4.132e-05,2026-07-20T16:05:42.476436+00:00,2026-07-20T16:05:43.830220+00:00
19,smoke20,B,fpb-full-004401,fpb,deepseek,deepseek-v4-pro,1,success,200,,,130,0,130,1,131,1414.19,5.742e-05,2026-07-20T16:05:44.136948+00:00,2026-07-20T16:05:45.549808+00:00
20,smoke20,B,fpb-full-004723,fpb,deepseek,deepseek-v4-pro,1,success,200,,,90,0,90,1,91,1373.75,4.002e-05,2026-07-20T16:05:45.857383+00:00,2026-07-20T16:05:47.230599+00:00
21,smoke20,B,fiqa_sa-test-000067,fiqa_sa,deepseek,deepseek-v4-pro,1,success,200,,,91,0,91,1,92,1245.6,4.045e-05,2026-07-20T16:05:47.537567+00:00,2026-07-20T16:05:48.783025+00:00
22,smoke20,B,fiqa_sa-test-000079,fiqa_sa,deepseek,deepseek-v4-pro,1,success,200,,,86,0,86,1,87,1315.5,3.828e-05,2026-07-20T16:05:49.089570+00:00,2026-07-20T16:05:50.404019+00:00
23,smoke20,B,fiqa_sa-test-000119,fiqa_sa,deepseek,deepseek-v4-pro,1,success,200,,,113,0,113,1,114,1191.58,5.002e-05,2026-07-20T16:05:50.710843+00:00,2026-07-20T16:05:51.902400+00:00
24,smoke20,B,fiqa_sa-test-000195,fiqa_sa,deepseek,deepseek-v4-pro,1,success,200,,,81,0,81,1,82,1384.98,3.611e-05,2026-07-20T16:05:52.208555+00:00,2026-07-20T16:05:53.593536+00:00
